Pair,Delta (mHz)
1.256212-1.001620,0.254592
1.256653-1.001620,0.255033
1.257241-1.001620,0.255620
1.258416-1.001620,0.256795
1.260032-1.001620,0.258412
1.260620-1.001620,0.258999
1.260913-1.001620,0.259293
1.261795-1.001620,0.260174
1.263558-1.001620,0.261937
1.265027-1.001620,0.263406
1.267671-1.001620,0.266051
1.273400-1.001620,0.271780
1.273988-1.001620,0.272368
1.274282-1.001620,0.272662
1.277955-1.001620,0.276334
1.278395-1.001620,0.276775
1.285153-1.001620,0.283533
1.293380-1.001620,0.291760
1.294115-1.001620,0.292494
1.294555-1.001620,0.292935
1.295731-1.001620,0.294110
1.302341-1.001620,0.300721
1.302782-1.001620,0.301162
1.309834-1.001620,0.308213
1.311303-1.001620,0.309682
1.312037-1.001620,0.310417
1.319236-1.001620,0.317616
1.326875-1.001620,0.325255
1.328344-1.001620,0.326724
1.328638-1.001620,0.327018
1.335836-1.001620,0.334216
1.336424-1.001620,0.334804
1.338922-1.001620,0.337301
1.339362-1.001620,0.337742
1.340097-1.001620,0.338477
1.341860-1.001620,0.340239
1.349352-1.001620,0.347732
1.349793-1.001620,0.348172
1.354053-1.001620,0.352433
1.376236-1.001620,0.374616
1.377705-1.001620,0.376085
1.381672-1.001620,0.380051
1.385785-1.001620,0.384165
1.386226-1.001620,0.384606
1.386667-1.001620,0.385046
1.386961-1.001620,0.385340
1.388283-1.001620,0.386662
1.389605-1.001620,0.387985
1.400770-1.001620,0.399150
1.411200-1.001620,0.409580
1.415608-1.001620,0.413987
1.416783-1.001620,0.415163
1.421778-1.001620,0.420157
1.422659-1.001620,0.421039
1.423247-1.001620,0.421627
1.423541-1.001620,0.421920
1.442198-1.001620,0.440578
1.467907-1.001620,0.466287
1.468495-1.001620,0.466874
1.469523-1.001620,0.467903
1.476134-1.001620,0.474513
1.477897-1.001620,0.476276
1.483626-1.001620,0.482006
1.491853-1.001620,0.490233
1.493469-1.001620,0.491849
1.496848-1.001620,0.495228
1.499639-1.001620,0.498019
1.500961-1.001620,0.499341
1.504046-1.001620,0.502426
1.504487-1.001620,0.502867
1.504781-1.001620,0.503161
1.505369-1.001620,0.503748
1.510951-1.001620,0.509331
1.513449-1.001620,0.511828
1.543271-1.001620,0.541651
1.545915-1.001620,0.544295
1.547091-1.001620,0.545470
1.547972-1.001620,0.546352
1.548853-1.001620,0.547233
1.550029-1.001620,0.548408
1.550469-1.001620,0.548849
1.551645-1.001620,0.550024
1.552232-1.001620,0.550612
1.552526-1.001620,0.550906
1.553114-1.001620,0.551493
1.564866-1.001620,0.563246
1.577500-1.001620,0.575880
1.578235-1.001620,0.576615
1.588078-1.001620,0.586458
1.588959-1.001620,0.587339
1.589400-1.001620,0.587780
1.589841-1.001620,0.588220
1.590281-1.001620,0.588661
1.590575-1.001620,0.588955
1.592044-1.001620,0.590424
1.593660-1.001620,0.592040
1.599684-1.001620,0.598063
1.603209-1.001620,0.601589
1.603944-1.001620,0.602324
1.611143-1.001620,0.609522
1.613346-1.001620,0.611726
1.623630-1.001620,0.622009
1.630681-1.001620,0.629061
1.631269-1.001620,0.629649
1.631857-1.001620,0.630236
1.632885-1.001620,0.631265
1.633472-1.001620,0.631852
1.634648-1.001620,0.633027
1.636411-1.001620,0.634790
1.636851-1.001620,0.635231
1.637145-1.001620,0.635525
1.637586-1.001620,0.635966
1.638467-1.001620,0.636847
1.640818-1.001620,0.639198
1.652717-1.001620,0.651097
1.664764-1.001620,0.663144
1.667261-1.001620,0.665641
1.672550-1.001620,0.670930
1.672991-1.001620,0.671371
1.673285-1.001620,0.671664
1.673725-1.001620,0.672105
1.674313-1.001620,0.672693
1.674754-1.001620,0.673133
1.675048-1.001620,0.673427
1.677251-1.001620,0.675631
1.678427-1.001620,0.676806
1.689738-1.001620,0.688118
1.694586-1.001620,0.692966
1.700610-1.001620,0.698989
1.707514-1.001620,0.705894
1.716770-1.001620,0.715149
1.717063-1.001620,0.715443
1.717504-1.001620,0.715884
1.717798-1.001620,0.716178
1.718385-1.001620,0.716765
1.720589-1.001620,0.718969
1.721617-1.001620,0.719997
1.722205-1.001620,0.720585
1.722646-1.001620,0.721025
1.724115-1.001620,0.722495
1.744829-1.001620,0.743209
1.751587-1.001620,0.749966
1.756729-1.001620,0.755108
1.757022-1.001620,0.755402
1.757463-1.001620,0.755843
1.757757-1.001620,0.756137
1.758051-1.001620,0.756430
1.758491-1.001620,0.756871
1.759079-1.001620,0.757459
1.759667-1.001620,0.758046
1.759961-1.001620,0.758340
1.760401-1.001620,0.758781
1.799626-1.001620,0.798005
1.800213-1.001620,0.798593
1.800654-1.001620,0.799034
1.800948-1.001620,0.799328
1.801389-1.001620,0.799768
1.801682-1.001620,0.800062
1.802123-1.001620,0.800503
1.802564-1.001620,0.800944
1.804180-1.001620,0.802560
1.804621-1.001620,0.803000
1.805208-1.001620,0.803588
1.805502-1.001620,0.803882
1.805796-1.001620,0.804176
1.806090-1.001620,0.804469
1.806530-1.001620,0.804910
1.809469-1.001620,0.807848
1.834296-1.001620,0.832676
1.838997-1.001620,0.837377
1.841641-1.001620,0.840021
1.842523-1.001620,0.840903
1.842964-1.001620,0.841343
1.843257-1.001620,0.841637
1.844139-1.001620,0.842519
1.845167-1.001620,0.843547
1.856773-1.001620,0.855153
1.885126-1.001620,0.883506
1.885420-1.001620,0.883800
1.885714-1.001620,0.884094
1.886008-1.001620,0.884387
1.887036-1.001620,0.885416
1.888946-1.001620,0.887326
1.889681-1.001620,0.888060
1.889974-1.001620,0.888354
1.890268-1.001620,0.888648
1.891003-1.001620,0.889382
1.921853-1.001620,0.920233
1.925526-1.001620,0.923906
1.927436-1.001620,0.925816
1.927877-1.001620,0.926256
1.928758-1.001620,0.927138
1.929052-1.001620,0.927432
1.938748-1.001620,0.937127
1.947269-1.001620,0.945648
1.969599-1.001620,0.967978
1.971949-1.001620,0.970329
1.972684-1.001620,0.971063
1.973859-1.001620,0.972239
1.974593-1.001620,0.972973
1.988403-1.001620,0.986782
1.988697-1.001620,0.987076
2.003828-1.001620,1.002208
2.011174-1.001620,1.009553
2.011614-1.001620,1.009994
2.012349-1.001620,1.010729
2.013230-1.001620,1.011610
2.015581-1.001620,1.013960
2.049663-1.001620,1.048043
2.056274-1.001620,1.054654
2.060388-1.001620,1.058767
2.061122-1.001620,1.059502
2.091239-1.001620,1.089618
2.095499-1.001620,1.093879
2.098584-1.001620,1.096964
2.103432-1.001620,1.101812
2.114009-1.001620,1.112389
2.136046-1.001620,1.134425
2.168806-1.001620,1.167186
2.173801-1.001620,1.172181
2.183644-1.001620,1.182023
2.208178-1.001620,1.206557
2.215964-1.001620,1.214343
2.225807-1.001620,1.224186
2.226541-1.001620,1.224921
2.277959-1.001620,1.276339
2.312923-1.001620,1.311303
2.316890-1.001620,1.315269
2.381089-1.001620,1.379468
2.416200-1.001620,1.414579
2.442496-1.001620,1.440876
2.447197-1.001620,1.445577
2.473934-1.001620,1.472314
2.494061-1.001620,1.492441
1.006028-1.005587,0.000441
1.012051-1.005587,0.006464
1.019249-1.005587,0.013663
1.023510-1.005587,0.017923
1.025273-1.005587,0.019686
1.028798-1.005587,0.023211
1.035850-1.005587,0.030263
1.039670-1.005587,0.034083
1.043636-1.005587,0.038049
1.044958-1.005587,0.039371
1.052744-1.005587,0.047158
1.054948-1.005587,0.049361
1.056858-1.005587,0.051271
1.057739-1.005587,0.052152
1.061118-1.005587,0.055531
1.061559-1.005587,0.055972
1.063615-1.005587,0.058029
1.072136-1.005587,0.066549
1.074928-1.005587,0.069341
1.077278-1.005587,0.071691
1.078306-1.005587,0.072720
1.083742-1.005587,0.078155
1.085211-1.005587,0.079624
1.086239-1.005587,0.080653
1.090353-1.005587,0.084766
1.096523-1.005587,0.090936
1.098873-1.005587,0.093287
1.104456-1.005587,0.098869
1.112242-1.005587,0.106655
1.115033-1.005587,0.109447
1.119000-1.005587,0.113413
1.120763-1.005587,0.115176
1.121204-1.005587,0.115617
1.121644-1.005587,0.116058
1.126051-1.005587,0.120465
1.131487-1.005587,0.125900
1.131781-1.005587,0.126194
1.136335-1.005587,0.130748
1.141183-1.005587,0.135596
1.143093-1.005587,0.137506
1.147500-1.005587,0.141913
1.157049-1.005587,0.151462
1.167920-1.005587,0.162334
1.171593-1.005587,0.166006
1.177616-1.005587,0.172030
1.178351-1.005587,0.172764
1.179085-1.005587,0.173499
1.190691-1.005587,0.185104
1.204647-1.005587,0.199061
1.206704-1.005587,0.201117
1.208320-1.005587,0.202733
1.214490-1.005587,0.208904
1.218751-1.005587,0.213164
1.219926-1.005587,0.214339
1.220660-1.005587,0.215074
1.221542-1.005587,0.215955
1.228006-1.005587,0.222419
1.228300-1.005587,0.222713
1.241521-1.005587,0.235935
1.245341-1.005587,0.239754
1.249454-1.005587,0.243868
1.255184-1.005587,0.249597
1.255918-1.005587,0.250332
1.256212-1.005587,0.250625
1.256653-1.005587,0.251066
1.257241-1.005587,0.251654
