Pair,Delta (mHz)
1.131487-1.006028,0.125460
1.131781-1.006028,0.125754
1.136335-1.006028,0.130308
1.141183-1.006028,0.135156
1.143093-1.006028,0.137065
1.147500-1.006028,0.141473
1.157049-1.006028,0.151022
1.167920-1.006028,0.161893
1.171593-1.006028,0.165566
1.177616-1.006028,0.171589
1.178351-1.006028,0.172323
1.179085-1.006028,0.173058
1.190691-1.006028,0.184664
1.204647-1.006028,0.198620
1.206704-1.006028,0.200677
1.208320-1.006028,0.202293
1.214490-1.006028,0.208463
1.218751-1.006028,0.212723
1.219926-1.006028,0.213898
1.220660-1.006028,0.214633
1.221542-1.006028,0.215514
1.228006-1.006028,0.221978
1.228300-1.006028,0.222272
1.241521-1.006028,0.235494
1.245341-1.006028,0.239313
1.249454-1.006028,0.243427
1.255184-1.006028,0.249156
1.255918-1.006028,0.249891
1.256212-1.006028,0.250185
1.256653-1.006028,0.250625
1.257241-1.006028,0.251213
1.258416-1.006028,0.252388
1.260032-1.006028,0.254004
1.260620-1.006028,0.254592
1.260913-1.006028,0.254886
1.261795-1.006028,0.255767
1.263558-1.006028,0.257530
1.265027-1.006028,0.258999
1.267671-1.006028,0.261644
1.273400-1.006028,0.267373
1.273988-1.006028,0.267961
1.274282-1.006028,0.268254
1.277955-1.006028,0.271927
1.278395-1.006028,0.272368
1.285153-1.006028,0.279126
1.293380-1.006028,0.287352
1.294115-1.006028,0.288087
1.294555-1.006028,0.288528
1.295731-1.006028,0.289703
1.302341-1.006028,0.296314
1.302782-1.006028,0.296755
1.309834-1.006028,0.303806
1.311303-1.006028,0.305275
1.312037-1.006028,0.306010
1.319236-1.006028,0.313208
1.326875-1.006028,0.320848
1.328344-1.006028,0.322317
1.328638-1.006028,0.322610
1.335836-1.006028,0.329809
1.336424-1.006028,0.330397
1.338922-1.006028,0.332894
1.339362-1.006028,0.333335
1.340097-1.006028,0.334069
1.341860-1.006028,0.335832
1.349352-1.006028,0.343325
1.349793-1.006028,0.343765
1.354053-1.006028,0.348026
1.376236-1.006028,0.370209
1.377705-1.006028,0.371678
1.381672-1.006028,0.375644
1.385785-1.006028,0.379758
1.386226-1.006028,0.380198
1.386667-1.006028,0.380639
1.386961-1.006028,0.380933
1.388283-1.006028,0.382255
1.389605-1.006028,0.383577
1.400770-1.006028,0.394742
1.411200-1.006028,0.405173
1.415608-1.006028,0.409580
1.416783-1.006028,0.410755
1.421778-1.006028,0.415750
1.422659-1.006028,0.416632
1.423247-1.006028,0.417219
1.423541-1.006028,0.417513
1.442198-1.006028,0.436171
1.467907-1.006028,0.461879
1.468495-1.006028,0.462467
1.469523-1.006028,0.463495
1.476134-1.006028,0.470106
1.477897-1.006028,0.471869
1.483626-1.006028,0.477599
1.491853-1.006028,0.485826
1.493469-1.006028,0.487442
1.496848-1.006028,0.490820
1.499639-1.006028,0.493612
1.500961-1.006028,0.494934
1.504046-1.006028,0.498019
1.504487-1.006028,0.498460
1.504781-1.006028,0.498753
1.505369-1.006028,0.499341
1.510951-1.006028,0.504924
1.513449-1.006028,0.507421
1.543271-1.006028,0.537243
1.545915-1.006028,0.539888
1.547091-1.006028,0.541063
1.547972-1.006028,0.541945
1.548853-1.006028,0.542826
1.550029-1.006028,0.544001
1.550469-1.006028,0.544442
1.551645-1.006028,0.545617
1.552232-1.006028,0.546205
1.552526-1.006028,0.546499
1.553114-1.006028,0.547086
1.564866-1.006028,0.558839
1.577500-1.006028,0.571473
1.578235-1.006028,0.572207
1.588078-1.006028,0.582050
1.588959-1.006028,0.582932
1.589400-1.006028,0.583373
1.589841-1.006028,0.583813
1.590281-1.006028,0.584254
1.590575-1.006028,0.584548
1.592044-1.006028,0.586017
1.593660-1.006028,0.587633
1.599684-1.006028,0.593656
1.603209-1.006028,0.597182
1.603944-1.006028,0.597916
1.611143-1.006028,0.605115
1.613346-1.006028,0.607319
1.623630-1.006028,0.617602
1.630681-1.006028,0.624654
1.631269-1.006028,0.625241
1.631857-1.006028,0.625829
1.632885-1.006028,0.626857
1.633472-1.006028,0.627445
1.634648-1.006028,0.628620
1.636411-1.006028,0.630383
1.636851-1.006028,0.630824
1.637145-1.006028,0.631118
1.637586-1.006028,0.631558
1.638467-1.006028,0.632440
1.640818-1.006028,0.634791
1.652717-1.006028,0.646690
1.664764-1.006028,0.658736
1.667261-1.006028,0.661234
1.672550-1.006028,0.666523
1.672991-1.006028,0.666963
1.673285-1.006028,0.667257
1.673725-1.006028,0.667698
1.674313-1.006028,0.668285
1.674754-1.006028,0.668726
1.675048-1.006028,0.669020
1.677251-1.006028,0.671224
1.678427-1.006028,0.672399
1.689738-1.006028,0.683711
1.694586-1.006028,0.688559
1.700610-1.006028,0.694582
1.707514-1.006028,0.701487
1.716770-1.006028,0.710742
1.717063-1.006028,0.711036
1.717504-1.006028,0.711476
1.717798-1.006028,0.711770
1.718385-1.006028,0.712358
1.720589-1.006028,0.714562
1.721617-1.006028,0.715590
1.722205-1.006028,0.716178
1.722646-1.006028,0.716618
1.724115-1.006028,0.718087
1.744829-1.006028,0.738801
1.751587-1.006028,0.745559
1.756729-1.006028,0.750701
1.757022-1.006028,0.750995
1.757463-1.006028,0.751436
1.757757-1.006028,0.751729
1.758051-1.006028,0.752023
1.758491-1.006028,0.752464
1.759079-1.006028,0.753052
1.759667-1.006028,0.753639
1.759961-1.006028,0.753933
1.760401-1.006028,0.754374
1.799626-1.006028,0.793598
1.800213-1.006028,0.794186
1.800654-1.006028,0.794627
1.800948-1.006028,0.794920
1.801389-1.006028,0.795361
1.801682-1.006028,0.795655
1.802123-1.006028,0.796096
1.802564-1.006028,0.796536
1.804180-1.006028,0.798152
1.804621-1.006028,0.798593
1.805208-1.006028,0.799181
1.805502-1.006028,0.799475
1.805796-1.006028,0.799768
1.806090-1.006028,0.800062
1.806530-1.006028,0.800503
1.809469-1.006028,0.803441
1.834296-1.006028,0.828269
1.838997-1.006028,0.832970
1.841641-1.006028,0.835614
1.842523-1.006028,0.836495
1.842964-1.006028,0.836936
1.843257-1.006028,0.837230
1.844139-1.006028,0.838111
1.845167-1.006028,0.839140
1.856773-1.006028,0.850745
1.885126-1.006028,0.879099
1.885420-1.006028,0.879393
1.885714-1.006028,0.879686
1.886008-1.006028,0.879980
1.887036-1.006028,0.881009
1.888946-1.006028,0.882918
1.889681-1.006028,0.883653
1.889974-1.006028,0.883947
1.890268-1.006028,0.884241
1.891003-1.006028,0.884975
1.921853-1.006028,0.915826
1.925526-1.006028,0.919499
1.927436-1.006028,0.921408
1.927877-1.006028,0.921849
1.928758-1.006028,0.922731
1.929052-1.006028,0.923024
1.938748-1.006028,0.932720
1.947269-1.006028,0.941241
1.969599-1.006028,0.963571
1.971949-1.006028,0.965922
1.972684-1.006028,0.966656
1.973859-1.006028,0.967831
1.974593-1.006028,0.968566
1.988403-1.006028,0.982375
1.988697-1.006028,0.982669
2.003828-1.006028,0.997801
2.011174-1.006028,1.005146
2.011614-1.006028,1.005587
2.012349-1.006028,1.006321
2.013230-1.006028,1.007203
2.015581-1.006028,1.009553
2.049663-1.006028,1.043636
2.056274-1.006028,1.050247
2.060388-1.006028,1.054360
2.061122-1.006028,1.055095
2.091239-1.006028,1.085211
2.095499-1.006028,1.089471
2.098584-1.006028,1.092557
2.103432-1.006028,1.097404
2.114009-1.006028,1.107982
2.136046-1.006028,1.130018
2.168806-1.006028,1.162779
2.173801-1.006028,1.167774
2.183644-1.006028,1.177616
2.208178-1.006028,1.202150
2.215964-1.006028,1.209936
2.225807-1.006028,1.219779
2.226541-1.006028,1.220513
2.277959-1.006028,1.271931
2.312923-1.006028,1.306896
2.316890-1.006028,1.310862
2.381089-1.006028,1.375061
2.416200-1.006028,1.410172
2.442496-1.006028,1.436469
2.447197-1.006028,1.441170
2.473934-1.006028,1.467907
2.494061-1.006028,1.488033
1.019249-1.012051,0.007198
1.023510-1.012051,0.011459
1.025273-1.012051,0.013222
1.028798-1.012051,0.016747
1.035850-1.012051,0.023799
1.039670-1.012051,0.027619
1.043636-1.012051,0.031585
1.044958-1.012051,0.032907
1.052744-1.012051,0.040693
1.054948-1.012051,0.042897
1.056858-1.012051,0.044807
1.057739-1.012051,0.045688
1.061118-1.012051,0.049067
1.061559-1.012051,0.049508
1.063615-1.012051,0.051565
1.072136-1.012051,0.060085
1.074928-1.012051,0.062877
1.077278-1.012051,0.065227
1.078306-1.012051,0.066256
1.083742-1.012051,0.071691
1.085211-1.012051,0.073160
1.086239-1.012051,0.074189
1.090353-1.012051,0.078302
1.096523-1.012051,0.084472
1.098873-1.012051,0.086823
1.104456-1.012051,0.092405
1.112242-1.012051,0.100191
1.115033-1.012051,0.102983
1.119000-1.012051,0.106949
1.120763-1.012051,0.108712
1.121204-1.012051,0.109153
1.121644-1.012051,0.109593
1.126051-1.012051,0.114001
1.131487-1.012051,0.119436
1.131781-1.012051,0.119730
1.136335-1.012051,0.124284
1.141183-1.012051,0.129132
1.143093-1.012051,0.131042
1.147500-1.012051,0.135449
1.157049-1.012051,0.144998
1.167920-1.012051,0.155870
1.171593-1.012051,0.159542
1.177616-1.012051,0.165565
1.178351-1.012051,0.166300
1.179085-1.012051,0.167035
1.190691-1.012051,0.178640
1.204647-1.012051,0.192597
1.206704-1.012051,0.194653
1.208320-1.012051,0.196269
1.214490-1.012051,0.202439
1.218751-1.012051,0.206700
1.219926-1.012051,0.207875
1.220660-1.012051,0.208610
1.221542-1.012051,0.209491
1.228006-1.012051,0.215955
1.228300-1.012051,0.216249
1.241521-1.012051,0.229471
1.245341-1.012051,0.233290
1.249454-1.012051,0.237404
1.255184-1.012051,0.243133
1.255918-1.012051,0.243868
1.256212-1.012051,0.244161
1.256653-1.012051,0.244602
1.257241-1.012051,0.245190
1.258416-1.012051,0.246365
1.260032-1.012051,0.247981
1.260620-1.012051,0.248569
1.260913-1.012051,0.248862
1.261795-1.012051,0.249744
1.263558-1.012051,0.251507
1.265027-1.012051,0.252976
1.267671-1.012051,0.255620
1.273400-1.012051,0.261350
1.273988-1.012051,0.261937
1.274282-1.012051,0.262231
1.277955-1.012051,0.265904
1.278395-1.012051,0.266345
1.285153-1.012051,0.273102
1.293380-1.012051,0.281329
1.294115-1.012051,0.282064
1.294555-1.012051,0.282504
1.295731-1.012051,0.283680
1.302341-1.012051,0.290291
1.302782-1.012051,0.290731
1.309834-1.012051,0.297783
1.311303-1.012051,0.299252
1.312037-1.012051,0.299986
1.319236-1.012051,0.307185
1.326875-1.012051,0.314824
1.328344-1.012051,0.316293
1.328638-1.012051,0.316587
1.335836-1.012051,0.323786
1.336424-1.012051,0.324373
1.338922-1.012051,0.326871
1.339362-1.012051,0.327311
1.340097-1.012051,0.328046
1.341860-1.012051,0.329809
1.349352-1.012051,0.337301
1.349793-1.012051,0.337742
1.354053-1.012051,0.342002
1.376236-1.012051,0.364185
1.377705-1.012051,0.365654
1.381672-1.012051,0.369621
1.385785-1.012051,0.373734
1.386226-1.012051,0.374175
1.386667-1.012051,0.374616
1.386961-1.012051,0.374910
1.388283-1.012051,0.376232
1.389605-1.012051,0.377554
1.400770-1.012051,0.388719
1.411200-1.012051,0.399150
1.415608-1.012051,0.403557
1.416783-1.012051,0.404732
1.421778-1.012051,0.409727
1.422659-1.012051,0.410608
1.423247-1.012051,0.411196
1.423541-1.012051,0.411490
1.442198-1.012051,0.430147
1.467907-1.012051,0.455856
1.468495-1.012051,0.456444
1.469523-1.012051,0.457472
1.476134-1.012051,0.464083
1.477897-1.012051,0.465846
1.483626-1.012051,0.471575
1.491853-1.012051,0.479802
1.493469-1.012051,0.481418
1.496848-1.012051,0.484797
1.499639-1.012051,0.487588
1.500961-1.012051,0.488910
1.504046-1.012051,0.491996
1.504487-1.012051,0.492436
1.504781-1.012051,0.492730
1.505369-1.012051,0.493318
1.510951-1.012051,0.498900
1.513449-1.012051,0.501398
1.543271-1.012051,0.531220
1.545915-1.012051,0.533864
1.547091-1.012051,0.535040
1.547972-1.012051,0.535921
1.548853-1.012051,0.536803
1.550029-1.012051,0.537978
1.550469-1.012051,0.538419
1.551645-1.012051,0.539594
1.552232-1.012051,0.540181
1.552526-1.012051,0.540475
1.553114-1.012051,0.541063
1.564866-1.012051,0.552816
1.577500-1.012051,0.565450
1.578235-1.012051,0.566184
1.588078-1.012051,0.576027
1.588959-1.012051,0.576908
1.589400-1.012051,0.577349
1.589841-1.012051,0.577790
1.590281-1.012051,0.578231
1.590575-1.012051,0.578524
1.592044-1.012051,0.579994
1.593660-1.012051,0.581610
1.599684-1.012051,0.587633
1.603209-1.012051,0.591159
1.603944-1.012051,0.591893
1.611143-1.012051,0.599092
1.613346-1.012051,0.601295
1.623630-1.012051,0.611579
1.630681-1.012051,0.618630
1.631269-1.012051,0.619218
1.631857-1.012051,0.619806
1.632885-1.012051,0.620834
1.633472-1.012051,0.621422
1.634648-1.012051,0.622597
1.636411-1.012051,0.624360
1.636851-1.012051,0.624801
1.637145-1.012051,0.625094
1.637586-1.012051,0.625535
1.638467-1.012051,0.626417
1.640818-1.012051,0.628767
1.652717-1.012051,0.640667
1.664764-1.012051,0.652713
1.667261-1.012051,0.655211
1.672550-1.012051,0.660499
1.672991-1.012051,0.660940
1.673285-1.012051,0.661234
1.673725-1.012051,0.661675
1.674313-1.012051,0.662262
1.674754-1.012051,0.662703
1.675048-1.012051,0.662997
1.677251-1.012051,0.665200
1.678427-1.012051,0.666376
1.689738-1.012051,0.677688
1.694586-1.012051,0.682536
1.700610-1.012051,0.688559
1.707514-1.012051,0.695463
1.716770-1.012051,0.704719
1.717063-1.012051,0.705012
1.717504-1.012051,0.705453
1.717798-1.012051,0.705747
1.718385-1.012051,0.706335
1.720589-1.012051,0.708538
1.721617-1.012051,0.709567
1.722205-1.012051,0.710154
1.722646-1.012051,0.710595
1.724115-1.012051,0.712064
1.744829-1.012051,0.732778
1.751587-1.012051,0.739536
1.756729-1.012051,0.744678
1.757022-1.012051,0.744972
1.757463-1.012051,0.745412
1.757757-1.012051,0.745706
1.758051-1.012051,0.746000
1.758491-1.012051,0.746441
1.759079-1.012051,0.747028
1.759667-1.012051,0.747616
1.759961-1.012051,0.747910
1.760401-1.012051,0.748350
1.799626-1.012051,0.787575
1.800213-1.012051,0.788163
1.800654-1.012051,0.788603
1.800948-1.012051,0.788897
1.801389-1.012051,0.789338
1.801682-1.012051,0.789632
1.802123-1.012051,0.790072
1.802564-1.012051,0.790513
1.804180-1.012051,0.792129
1.804621-1.012051,0.792570
1.805208-1.012051,0.793157
1.805502-1.012051,0.793451
1.805796-1.012051,0.793745
1.806090-1.012051,0.794039
1.806530-1.012051,0.794480
1.809469-1.012051,0.797418
1.834296-1.012051,0.822245
1.838997-1.012051,0.826946
1.841641-1.012051,0.829591
1.842523-1.012051,0.830472
1.842964-1.012051,0.830913
1.843257-1.012051,0.831207
1.844139-1.012051,0.832088
1.845167-1.012051,0.833117
1.856773-1.012051,0.844722
1.885126-1.012051,0.873075
1.885420-1.012051,0.873369
1.885714-1.012051,0.873663
1.886008-1.012051,0.873957
1.887036-1.012051,0.874985
1.888946-1.012051,0.876895
1.889681-1.012051,0.877630
1.889974-1.012051,0.877923
1.890268-1.012051,0.878217
1.891003-1.012051,0.878952
1.921853-1.012051,0.909803
1.925526-1.012051,0.913475
1.927436-1.012051,0.915385
1.927877-1.012051,0.915826
1.928758-1.012051,0.916707
1.929052-1.012051,0.917001
1.938748-1.012051,0.926697
1.947269-1.012051,0.935218
1.969599-1.012051,0.957548
1.971949-1.012051,0.959898
1.972684-1.012051,0.960633
1.973859-1.012051,0.961808
1.974593-1.012051,0.962543
1.988403-1.012051,0.976352
1.988697-1.012051,0.976646
2.003828-1.012051,0.991777
2.011174-1.012051,0.999123
2.011614-1.012051,0.999564
2.012349-1.012051,1.000298
2.013230-1.012051,1.001179
2.015581-1.012051,1.003530
2.049663-1.012051,1.037613
2.056274-1.012051,1.044224
2.060388-1.012051,1.048337
2.061122-1.012051,1.049072
2.091239-1.012051,1.079188
2.095499-1.012051,1.083448
2.098584-1.012051,1.086533
2.103432-1.012051,1.091381
2.114009-1.012051,1.101959
2.136046-1.012051,1.123995
2.168806-1.012051,1.156755
2.173801-1.012051,1.161750
2.183644-1.012051,1.171593
2.208178-1.012051,1.196127
2.215964-1.012051,1.203913
2.225807-1.012051,1.213756
2.226541-1.012051,1.214490
2.277959-1.012051,1.265908
2.312923-1.012051,1.300872
2.316890-1.012051,1.304839
2.381089-1.012051,1.369038
2.416200-1.012051,1.404149
2.442496-1.012051,1.430445
2.447197-1.012051,1.435146
2.473934-1.012051,1.461884
2.494061-1.012051,1.482010
1.023510-1.019249,0.004260
1.025273-1.019249,0.006023
1.028798-1.019249,0.009549
1.035850-1.019249,0.016601
1.039670-1.019249,0.020420
1.043636-1.019249,0.024387
1.044958-1.019249,0.025709
1.052744-1.019249,0.033495
1.054948-1.019249,0.035699
1.056858-1.019249,0.037609
1.057739-1.019249,0.038490
1.061118-1.019249,0.041869
1.061559-1.019249,0.042309
1.063615-1.019249,0.044366
1.072136-1.019249,0.052887
1.074928-1.019249,0.055678
1.077278-1.019249,0.058029
1.078306-1.019249,0.059057
1.083742-1.019249,0.064493
1.085211-1.019249,0.065962
1.086239-1.019249,0.066990
1.090353-1.019249,0.071103
1.096523-1.019249,0.077274
1.098873-1.019249,0.079624
1.104456-1.019249,0.085207
1.112242-1.019249,0.092993
1.115033-1.019249,0.095784
1.119000-1.019249,0.099751
1.120763-1.019249,0.101514
1.121204-1.019249,0.101954
1.121644-1.019249,0.102395
1.126051-1.019249,0.106802
1.131487-1.019249,0.112238
1.131781-1.019249,0.112532
1.136335-1.019249,0.117086
1.141183-1.019249,0.121934
1.143093-1.019249,0.123844
1.147500-1.019249,0.128251
1.157049-1.019249,0.137800
1.167920-1.019249,0.148671
1.171593-1.019249,0.152344
1.177616-1.019249,0.158367
1.178351-1.019249,0.159102
1.179085-1.019249,0.159836
1.190691-1.019249,0.171442
1.204647-1.019249,0.185398
1.206704-1.019249,0.187455
1.208320-1.019249,0.189071
1.214490-1.019249,0.195241
1.218751-1.019249,0.199501
1.219926-1.019249,0.200677
1.220660-1.019249,0.201411
1.221542-1.019249,0.202293
1.228006-1.019249,0.208757
1.228300-1.019249,0.209050
1.241521-1.019249,0.222272
1.245341-1.019249,0.226092
1.249454-1.019249,0.230205
1.255184-1.019249,0.235935
1.255918-1.019249,0.236669
1.256212-1.019249,0.236963
1.256653-1.019249,0.237404
1.257241-1.019249,0.237991
1.258416-1.019249,0.239167
1.260032-1.019249,0.240783
1.260620-1.019249,0.241370
1.260913-1.019249,0.241664
1.261795-1.019249,0.242545
1.263558-1.019249,0.244308
1.265027-1.019249,0.245777
1.267671-1.019249,0.248422
1.273400-1.019249,0.254151
1.273988-1.019249,0.254739
1.274282-1.019249,0.255033
1.277955-1.019249,0.258705
1.278395-1.019249,0.259146
1.285153-1.019249,0.265904
1.293380-1.019249,0.274131
1.294115-1.019249,0.274865
1.294555-1.019249,0.275306
1.295731-1.019249,0.276481
1.302341-1.019249,0.283092
1.302782-1.019249,0.283533
1.309834-1.019249,0.290584
1.311303-1.019249,0.292053
1.312037-1.019249,0.292788
1.319236-1.019249,0.299987
1.326875-1.019249,0.307626
1.328344-1.019249,0.309095
1.328638-1.019249,0.309389
1.335836-1.019249,0.316587
1.336424-1.019249,0.317175
1.338922-1.019249,0.319672
1.339362-1.019249,0.320113
1.340097-1.019249,0.320848
1.341860-1.019249,0.322610
1.349352-1.019249,0.330103
1.349793-1.019249,0.330544
1.354053-1.019249,0.334804
1.376236-1.019249,0.356987
1.377705-1.019249,0.358456
1.381672-1.019249,0.362422
1.385785-1.019249,0.366536
1.386226-1.019249,0.366977
1.386667-1.019249,0.367417
1.386961-1.019249,0.367711
1.388283-1.019249,0.369033
1.389605-1.019249,0.370356
1.400770-1.019249,0.381521
1.411200-1.019249,0.391951
1.415608-1.019249,0.396358
1.416783-1.019249,0.397534
1.421778-1.019249,0.402529
1.422659-1.019249,0.403410
1.423247-1.019249,0.403998
1.423541-1.019249,0.404291
1.442198-1.019249,0.422949
1.467907-1.019249,0.448658
1.468495-1.019249,0.449245
1.469523-1.019249,0.450274
1.476134-1.019249,0.456884
1.477897-1.019249,0.458647
1.483626-1.019249,0.464377
1.491853-1.019249,0.472604
1.493469-1.019249,0.474220
1.496848-1.019249,0.477599
1.499639-1.019249,0.480390
1.500961-1.019249,0.481712
1.504046-1.019249,0.484797
1.504487-1.019249,0.485238
1.504781-1.019249,0.485532
1.505369-1.019249,0.486119
1.510951-1.019249,0.491702
1.513449-1.019249,0.494199
1.543271-1.019249,0.524022
1.545915-1.019249,0.526666
1.547091-1.019249,0.527841
1.547972-1.019249,0.528723
1.548853-1.019249,0.529604
1.550029-1.019249,0.530779
1.550469-1.019249,0.531220
1.551645-1.019249,0.532395
1.552232-1.019249,0.532983
1.552526-1.019249,0.533277
1.553114-1.019249,0.533864
1.564866-1.019249,0.545617
1.577500-1.019249,0.558251
1.578235-1.019249,0.558986
1.588078-1.019249,0.568829
1.588959-1.019249,0.569710
1.589400-1.019249,0.570151
1.589841-1.019249,0.570591
1.590281-1.019249,0.571032
1.590575-1.019249,0.571326
1.592044-1.019249,0.572795
1.593660-1.019249,0.574411
1.599684-1.019249,0.580434
1.603209-1.019249,0.583960
1.603944-1.019249,0.584695
1.611143-1.019249,0.591893
1.613346-1.019249,0.594097
1.623630-1.019249,0.604380
1.630681-1.019249,0.611432
1.631269-1.019249,0.612020
1.631857-1.019249,0.612607
1.632885-1.019249,0.613636
1.633472-1.019249,0.614223
1.634648-1.019249,0.615398
1.636411-1.019249,0.617161
1.636851-1.019249,0.617602
1.637145-1.019249,0.617896
1.637586-1.019249,0.618337
1.638467-1.019249,0.619218
1.640818-1.019249,0.621569
1.652717-1.019249,0.633468
1.664764-1.019249,0.645515
1.667261-1.019249,0.648012
1.672550-1.019249,0.653301
1.672991-1.019249,0.653742
1.673285-1.019249,0.654035
1.673725-1.019249,0.654476
1.674313-1.019249,0.655064
