Pair,Delta (microHz)
209.819020-121.826590,87.992430
209.834780-121.826590,88.008190
209.897800-121.826590,88.071210
209.921430-121.826590,88.094840
209.952940-121.826590,88.126350
210.031720-121.826590,88.205130
210.086860-121.826590,88.260270
217.247570-121.826590,95.420980
217.286960-121.826590,95.460370
217.365730-121.826590,95.539140
222.171050-121.826590,100.344460
222.446760-121.826590,100.620170
223.620520-121.826590,101.793930
124.552230-122.039280,2.512950
125.221820-122.039280,3.182540
125.710230-122.039280,3.670950
125.796880-122.039280,3.757600
126.466480-122.039280,4.427200
126.482230-122.039280,4.442950
127.600850-122.039280,5.561570
128.357090-122.039280,6.317810
128.372850-122.039280,6.333570
128.396480-122.039280,6.357200
128.420110-122.039280,6.380830
128.695830-122.039280,6.656550
128.719460-122.039280,6.680180
129.136970-122.039280,7.097690
131.279670-122.039280,9.240390
135.037270-122.039280,12.997990
135.060900-122.039280,13.021620
135.494170-122.039280,13.454890
136.037720-122.039280,13.998440
136.455230-122.039280,14.415950
141.685940-122.039280,19.646660
141.725330-122.039280,19.686050
141.796220-122.039280,19.756940
141.819860-122.039280,19.780580
141.843490-122.039280,19.804210
141.867120-122.039280,19.827840
142.134960-122.039280,20.095680
145.829540-122.039280,23.790260
147.672890-122.039280,25.633610
147.704400-122.039280,25.665120
147.806810-122.039280,25.767530
148.011620-122.039280,25.972340
148.027380-122.039280,25.988100
148.066770-122.039280,26.027490
148.082520-122.039280,26.043240
148.736360-122.039280,26.697080
148.759990-122.039280,26.720710
148.846650-122.039280,26.807370
149.035710-122.039280,26.996430
149.075100-122.039280,27.035820
149.106610-122.039280,27.067330
149.122360-122.039280,27.083080
149.209010-122.039280,27.169730
152.218250-122.039280,30.178970
153.171430-122.039280,31.132150
153.250210-122.039280,31.210930
153.265960-122.039280,31.226680
153.281720-122.039280,31.242440
153.313230-122.039280,31.273950
153.360490-122.039280,31.321210
153.502290-122.039280,31.463010
154.754820-122.039280,32.715540
154.802090-122.039280,32.762810
154.825720-122.039280,32.786440
154.857230-122.039280,32.817950
154.951760-122.039280,32.912480
154.967520-122.039280,32.928240
154.991150-122.039280,32.951870
155.022660-122.039280,32.983380
155.054170-122.039280,33.014890
155.085680-122.039280,33.046400
155.109310-122.039280,33.070030
155.180210-122.039280,33.140930
155.227480-122.039280,33.188200
158.433650-122.039280,36.394370
160.135200-122.039280,38.095920
160.363650-122.039280,38.324370
160.450300-122.039280,38.411020
160.466060-122.039280,38.426780
160.859940-122.039280,38.820660
160.875690-122.039280,38.836410
161.742230-122.039280,39.702950
161.828880-122.039280,39.789600
161.844630-122.039280,39.805350
161.899780-122.039280,39.860500
161.915530-122.039280,39.876250
161.947040-122.039280,39.907760
162.025820-122.039280,39.986540
162.041570-122.039280,40.002290
162.080960-122.039280,40.041680
162.120350-122.039280,40.081070
162.143980-122.039280,40.104700
162.230630-122.039280,40.191350
163.349250-122.039280,41.309970
163.569820-122.039280,41.530540
163.774640-122.039280,41.735360
166.003990-122.039280,43.964710
166.791750-122.039280,44.752470
166.815380-122.039280,44.776100
166.886280-122.039280,44.847000
166.941420-122.039280,44.902140
166.972930-122.039280,44.933650
167.020200-122.039280,44.980920
167.059580-122.039280,45.020300
167.091090-122.039280,45.051810
167.114730-122.039280,45.075450
167.130480-122.039280,45.091200
167.240770-122.039280,45.201490
167.256520-122.039280,45.217240
167.280160-122.039280,45.240880
168.367260-122.039280,46.327980
168.383020-122.039280,46.343740
168.556320-122.039280,46.517040
168.579950-122.039280,46.540670
168.595710-122.039280,46.556430
168.627220-122.039280,46.587940
168.650850-122.039280,46.611570
168.690240-122.039280,46.650960
168.706000-122.039280,46.666720
168.721750-122.039280,46.682470
168.745380-122.039280,46.706100
168.761140-122.039280,46.721860
168.776890-122.039280,46.737610
168.800530-122.039280,46.761250
168.816280-122.039280,46.777000
168.832040-122.039280,46.792760
168.863550-122.039280,46.824270
168.895060-122.039280,46.855780
169.013220-122.039280,46.973940
170.832940-122.039280,48.793660
172.833840-122.039280,50.794560
172.865350-122.039280,50.826070
173.093800-122.039280,51.054520
173.259230-122.039280,51.219950
173.282860-122.039280,51.243580
173.298620-122.039280,51.259340
174.929270-122.039280,52.889990
174.952910-122.039280,52.913630
174.968660-122.039280,52.929380
174.984420-122.039280,52.945140
175.015930-122.039280,52.976650
175.055320-122.039280,53.016040
175.086830-122.039280,53.047550
175.110460-122.039280,53.071180
175.228620-122.039280,53.189340
175.260130-122.039280,53.220850
175.291640-122.039280,53.252360
176.181810-122.039280,54.142530
176.197560-122.039280,54.158280
176.221200-122.039280,54.181920
176.284220-122.039280,54.244940
176.299970-122.039280,54.260690
176.339360-122.039280,54.300080
176.362990-122.039280,54.323710
176.394500-122.039280,54.355220
176.457520-122.039280,54.418240
176.591440-122.039280,54.552160
176.615070-122.039280,54.575790
176.630830-122.039280,54.591550
176.646580-122.039280,54.607300
179.049240-122.039280,57.009960
180.396310-122.039280,58.357030
180.577490-122.039280,58.538210
180.616880-122.039280,58.577600
180.648390-122.039280,58.609110
180.664140-122.039280,58.624860
180.687780-122.039280,58.648500
180.711410-122.039280,58.672130
180.742920-122.039280,58.703640
180.758670-122.039280,58.719390
180.782310-122.039280,58.743030
180.884720-122.039280,58.845440
180.955610-122.039280,58.916330
180.971370-122.039280,58.932090
180.995000-122.039280,58.955720
181.010760-122.039280,58.971480
181.034390-122.039280,58.995110
181.050140-122.039280,59.010860
181.097410-122.039280,59.058130
181.302230-122.039280,59.262950
182.247540-122.039280,60.208260
182.286920-122.039280,60.247640
182.302680-122.039280,60.263400
182.334190-122.039280,60.294910
182.357820-122.039280,60.318540
182.373580-122.039280,60.334300
182.412960-122.039280,60.373680
182.428720-122.039280,60.389440
182.460230-122.039280,60.420950
182.491740-122.039280,60.452460
182.515370-122.039280,60.476090
182.531130-122.039280,60.491850
182.546880-122.039280,60.507600
182.570520-122.039280,60.531240
182.594150-122.039280,60.554870
182.609900-122.039280,60.570620
184.634440-122.039280,62.595160
186.997710-122.039280,64.958430
187.013460-122.039280,64.974180
187.029220-122.039280,64.989940
187.052850-122.039280,65.013570
187.391590-122.039280,65.352310
187.430970-122.039280,65.391690
187.454610-122.039280,65.415330
187.470360-122.039280,65.431080
188.943470-122.039280,66.904190
188.967100-122.039280,66.927820
188.990730-122.039280,66.951450
189.022240-122.039280,66.982960
189.038000-122.039280,66.998720
189.053750-122.039280,67.014470
189.069510-122.039280,67.030230
189.085260-122.039280,67.045980
189.108900-122.039280,67.069620
189.148280-122.039280,67.109000
189.164040-122.039280,67.124760
189.195550-122.039280,67.156270
189.219180-122.039280,67.179900
189.258570-122.039280,67.219290
189.290080-122.039280,67.250800
189.329470-122.039280,67.290190
189.345220-122.039280,67.305940
190.755310-122.039280,68.716030
190.794700-122.039280,68.755420
190.889230-122.039280,68.849950
191.164940-122.039280,69.125660
191.188570-122.039280,69.149290
193.748780-122.039280,71.709500
194.119030-122.039280,72.079750
194.284460-122.039280,72.245180
194.323850-122.039280,72.284570
194.339600-122.039280,72.300320
194.363230-122.039280,72.323950
194.410500-122.039280,72.371220
194.434130-122.039280,72.394850
194.489280-122.039280,72.450000
194.512910-122.039280,72.473630
194.528660-122.039280,72.489380
194.583810-122.039280,72.544530
194.599560-122.039280,72.560280
194.623190-122.039280,72.583910
194.638950-122.039280,72.599670
195.080090-122.039280,73.040810
195.796950-122.039280,73.757670
195.836340-122.039280,73.797060
195.875730-122.039280,73.836450
195.899360-122.039280,73.860080
195.915120-122.039280,73.875840
195.930870-122.039280,73.891590
195.954500-122.039280,73.915220
196.001770-122.039280,73.962490
196.025400-122.039280,73.986120
196.041160-122.039280,74.001880
196.056910-122.039280,74.017630
196.080540-122.039280,74.041260
196.112050-122.039280,74.072770
196.127810-122.039280,74.088530
196.151440-122.039280,74.112160
196.167200-122.039280,74.127920
196.198710-122.039280,74.159430
196.245970-122.039280,74.206690
196.450790-122.039280,74.411510
200.247780-122.039280,78.208500
200.263530-122.039280,78.224250
200.633780-122.039280,78.594500
200.649530-122.039280,78.610250
200.681040-122.039280,78.641760
202.461370-122.039280,80.422090
202.532270-122.039280,80.492990
202.603170-122.039280,80.563890
202.626800-122.039280,80.587520
202.721330-122.039280,80.682050
202.737090-122.039280,80.697810
202.752840-122.039280,80.713560
202.776480-122.039280,80.737200
202.792230-122.039280,80.752950
202.823740-122.039280,80.784460
202.847380-122.039280,80.808100
202.894640-122.039280,80.855360
202.918270-122.039280,80.878990
202.941910-122.039280,80.902630
202.957660-122.039280,80.918380
202.997050-122.039280,80.957770
204.533170-122.039280,82.493890
204.572560-122.039280,82.533280
204.911300-122.039280,82.872020
204.927050-122.039280,82.887770
204.942810-122.039280,82.903530
208.007180-122.039280,85.967900
208.148980-122.039280,86.109700
208.172610-122.039280,86.133330
208.314410-122.039280,86.275130
209.771760-122.039280,87.732480
209.787510-122.039280,87.748230
209.819020-122.039280,87.779740
209.834780-122.039280,87.795500
209.897800-122.039280,87.858520
209.921430-122.039280,87.882150
209.952940-122.039280,87.913660
210.031720-122.039280,87.992440
210.086860-122.039280,88.047580
217.247570-122.039280,95.208290
217.286960-122.039280,95.247680
217.365730-122.039280,95.326450
222.171050-122.039280,100.131770
222.446760-122.039280,100.407480
223.620520-122.039280,101.581240
125.221820-124.552230,0.669590
125.710230-124.552230,1.158000
125.796880-124.552230,1.244650
126.466480-124.552230,1.914250
126.482230-124.552230,1.930000
127.600850-124.552230,3.048620
128.357090-124.552230,3.804860
128.372850-124.552230,3.820620
128.396480-124.552230,3.844250
128.420110-124.552230,3.867880
128.695830-124.552230,4.143600
128.719460-124.552230,4.167230
129.136970-124.552230,4.584740
131.279670-124.552230,6.727440
135.037270-124.552230,10.485040
135.060900-124.552230,10.508670
135.494170-124.552230,10.941940
136.037720-124.552230,11.485490
136.455230-124.552230,11.903000
141.685940-124.552230,17.133710
141.725330-124.552230,17.173100
141.796220-124.552230,17.243990
141.819860-124.552230,17.267630
141.843490-124.552230,17.291260
141.867120-124.552230,17.314890
142.134960-124.552230,17.582730
145.829540-124.552230,21.277310
147.672890-124.552230,23.120660
147.704400-124.552230,23.152170
147.806810-124.552230,23.254580
148.011620-124.552230,23.459390
148.027380-124.552230,23.475150
148.066770-124.552230,23.514540
148.082520-124.552230,23.530290
148.736360-124.552230,24.184130
