Pair,Delta (mHz)
3.825378-2.476501,1.348877
3.892517-2.476501,1.416016
3.963470-2.476501,1.486969
4.029083-2.476501,1.552582
4.100800-2.476501,1.624298
4.167175-2.476501,1.690674
4.238892-2.476501,1.762390
4.300690-2.476501,1.824188
4.376221-2.476501,1.899719
4.444122-2.476501,1.967621
4.513550-2.476501,2.037048
4.580688-2.476501,2.104187
4.646301-2.476501,2.169800
4.722595-2.476501,2.246094
4.785156-2.476501,2.308655
4.851532-2.476501,2.375031
4.921722-2.476501,2.445221
4.993439-2.476501,2.516937
5.064392-2.476501,2.587891
2.609253-2.536011,0.073242
2.669525-2.536011,0.133514
2.742767-2.536011,0.206757
2.805328-2.536011,0.269318
2.877808-2.536011,0.341797
2.942657-2.536011,0.406647
3.012848-2.536011,0.476837
3.075409-2.536011,0.539398
3.147125-2.536011,0.611114
3.214264-2.536011,0.678253
3.284454-2.536011,0.748444
3.345489-2.536011,0.809479
3.418732-2.536011,0.882721
3.482056-2.536011,0.946045
3.553772-2.536011,1.017761
3.618622-2.536011,1.082611
3.688812-2.536011,1.152802
3.755188-2.536011,1.219177
3.825378-2.536011,1.289368
3.892517-2.536011,1.356506
3.963470-2.536011,1.427460
4.029083-2.536011,1.493073
4.100800-2.536011,1.564789
4.167175-2.536011,1.631165
4.238892-2.536011,1.702881
4.300690-2.536011,1.764679
4.376221-2.536011,1.840210
4.444122-2.536011,1.908112
4.513550-2.536011,1.977539
4.580688-2.536011,2.044678
4.646301-2.536011,2.110291
4.722595-2.536011,2.186584
4.785156-2.536011,2.249146
4.851532-2.536011,2.315521
4.921722-2.536011,2.385712
4.993439-2.536011,2.457428
5.064392-2.536011,2.528381
2.669525-2.609253,0.060272
2.742767-2.609253,0.133514
2.805328-2.609253,0.196075
2.877808-2.609253,0.268555
2.942657-2.609253,0.333405
3.012848-2.609253,0.403595
3.075409-2.609253,0.466156
3.147125-2.609253,0.537872
3.214264-2.609253,0.605011
3.284454-2.609253,0.675201
3.345489-2.609253,0.736237
3.418732-2.609253,0.809479
3.482056-2.609253,0.872803
3.553772-2.609253,0.944519
3.618622-2.609253,1.009369
3.688812-2.609253,1.079559
3.755188-2.609253,1.145935
3.825378-2.609253,1.216125
3.892517-2.609253,1.283264
3.963470-2.609253,1.354218
4.029083-2.609253,1.419830
4.100800-2.609253,1.491547
4.167175-2.609253,1.557922
4.238892-2.609253,1.629639
4.300690-2.609253,1.691437
4.376221-2.609253,1.766968
4.444122-2.609253,1.834869
4.513550-2.609253,1.904297
4.580688-2.609253,1.971436
4.646301-2.609253,2.037048
4.722595-2.609253,2.113342
4.785156-2.609253,2.175903
4.851532-2.609253,2.242279
