Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
17574,141.62061000,1181.02590000,2355
17578,141.65284000,3306.13170000,2359
17582,141.68508000,1847.59150000,2363
17586,141.71731000,1020.22700000,2367
17624,142.02354000,965.67101000,2405
17698,142.61987000,685.57875000,2479
17701,142.64404000,1246.75820000,2482
17715,142.75686000,1496.08860000,2496
17719,142.78910000,1475.82780000,2500
17721,142.80521000,1318.56600000,2502
17727,142.85356000,2516.50630000,2508
17731,142.88580000,1922.42220000,2512
17735,142.91803000,1418.22990000,2516
17742,142.97444000,1286.71980000,2523
17749,143.03085000,962.79969000,2530
17777,143.25649000,706.06318000,2558
18157,146.31873000,1706.13010000,2938
18310,147.55169000,863.83659000,3091
18322,147.64839000,766.77056000,3103
18326,147.68062000,1381.99170000,3107
18328,147.69674000,896.85174000,3109
18330,147.71286000,883.11583000,3111
18335,147.75315000,671.62985000,3116
18340,147.79344000,664.08864000,3121
18429,148.51065000,1070.87560000,3210
18431,148.52677000,1103.21830000,3212
