Pair,Delta (microHz)
121.442050-101.215140,20.226910
121.466230-101.215140,20.251090
121.482340-101.215140,20.267200
121.498460-101.215140,20.283320
121.530690-101.215140,20.315550
121.546810-101.215140,20.331670
121.619340-101.215140,20.404200
121.675750-101.215140,20.460610
121.748270-101.215140,20.533130
121.828860-101.215140,20.613720
121.925560-101.215140,20.710420
121.941680-101.215140,20.726540
122.264020-101.215140,21.048880
122.352660-101.215140,21.137520
122.409070-101.215140,21.193930
122.441310-101.215140,21.226170
122.465480-101.215140,21.250340
122.505780-101.215140,21.290640
122.538010-101.215140,21.322870
122.554130-101.215140,21.338990
122.570240-101.215140,21.355100
122.594420-101.215140,21.379280
122.610540-101.215140,21.395400
122.626650-101.215140,21.411510
122.642770-101.215140,21.427630
122.658890-101.215140,21.443750
122.691120-101.215140,21.475980
122.707240-101.215140,21.492100
122.723360-101.215140,21.508220
122.739470-101.215140,21.524330
122.787820-101.215140,21.572680
122.812000-101.215140,21.596860
122.844230-101.215140,21.629090
122.876470-101.215140,21.661330
122.908700-101.215140,21.693560
122.932880-101.215140,21.717740
123.021520-101.215140,21.806380
124.351180-101.215140,23.136040
124.810520-101.215140,23.595380
124.850810-101.215140,23.635670
125.302090-101.215140,24.086950
126.067650-101.215140,24.852510
126.333580-101.215140,25.118440
126.365810-101.215140,25.150670
126.381930-101.215140,25.166790
127.074960-101.215140,25.859820
127.252250-101.215140,26.037110
127.357010-101.215140,26.141870
127.389250-101.215140,26.174110
127.413420-101.215140,26.198280
127.429540-101.215140,26.214400
127.445660-101.215140,26.230520
127.485950-101.215140,26.270810
127.832460-101.215140,26.617320
127.848580-101.215140,26.633440
127.929170-101.215140,26.714030
127.945280-101.215140,26.730140
127.993640-101.215140,26.778500
128.041990-101.215140,26.826850
128.058100-101.215140,26.842960
128.090340-101.215140,26.875200
128.106450-101.215140,26.891310
128.130630-101.215140,26.915490
128.154810-101.215140,26.939670
128.404620-101.215140,27.189480
129.081540-101.215140,27.866400
129.105710-101.215140,27.890570
129.129890-101.215140,27.914750
131.120340-101.215140,29.905200
131.144520-101.215140,29.929380
131.305690-101.215140,30.090550
131.321810-101.215140,30.106670
131.337930-101.215140,30.122790
131.370160-101.215140,30.155020
131.394330-101.215140,30.179190
131.418510-101.215140,30.203370
131.450740-101.215140,30.235600
131.474920-101.215140,30.259780
131.499100-101.215140,30.283960
131.515210-101.215140,30.300070
131.587740-101.215140,30.372600
131.611920-101.215140,30.396780
132.095430-101.215140,30.880290
132.224360-101.215140,31.009220
132.361360-101.215140,31.146220
132.401650-101.215140,31.186510
132.417770-101.215140,31.202630
132.441940-101.215140,31.226800
132.458060-101.215140,31.242920
132.474180-101.215140,31.259040
132.490300-101.215140,31.275160
132.522530-101.215140,31.307390
132.538650-101.215140,31.323510
132.554760-101.215140,31.339620
132.595060-101.215140,31.379920
132.619230-101.215140,31.404090
132.651470-101.215140,31.436330
132.683700-101.215140,31.468560
132.740110-101.215140,31.524970
132.764290-101.215140,31.549150
132.780400-101.215140,31.565260
132.836810-101.215140,31.621670
132.852930-101.215140,31.637790
132.877100-101.215140,31.661960
132.909340-101.215140,31.694200
134.956210-101.215140,33.741070
136.954720-101.215140,35.739580
136.995010-101.215140,35.779870
137.752520-101.215140,36.537380
137.816980-101.215140,36.601840
137.833100-101.215140,36.617960
137.849220-101.215140,36.634080
137.865330-101.215140,36.650190
137.889510-101.215140,36.674370
137.905630-101.215140,36.690490
137.921740-101.215140,36.706600
137.953980-101.215140,36.738840
137.978150-101.215140,36.763010
138.018450-101.215140,36.803310
138.058740-101.215140,36.843600
138.784010-101.215140,37.568870
138.816240-101.215140,37.601100
141.016220-101.215140,39.801080
141.411090-101.215140,40.195950
141.523910-101.215140,40.308770
141.620610-101.215140,40.405470
141.652840-101.215140,40.437700
141.685080-101.215140,40.469940
141.717310-101.215140,40.502170
142.023540-101.215140,40.808400
142.619870-101.215140,41.404730
142.644040-101.215140,41.428900
142.756860-101.215140,41.541720
142.789100-101.215140,41.573960
142.805210-101.215140,41.590070
142.853560-101.215140,41.638420
142.885800-101.215140,41.670660
142.918030-101.215140,41.702890
142.974440-101.215140,41.759300
143.030850-101.215140,41.815710
143.256490-101.215140,42.041350
146.318730-101.215140,45.103590
147.551690-101.215140,46.336550
147.648390-101.215140,46.433250
147.680620-101.215140,46.465480
147.696740-101.215140,46.481600
147.712860-101.215140,46.497720
147.753150-101.215140,46.538010
147.793440-101.215140,46.578300
148.510650-101.215140,47.295510
148.526770-101.215140,47.311630
101.263490-101.239310,0.024180
101.295720-101.239310,0.056410
101.319900-101.239310,0.080590
101.344080-101.239310,0.104770
101.368250-101.239310,0.128940
101.384370-101.239310,0.145060
101.440780-101.239310,0.201470
101.456900-101.239310,0.217590
101.585830-101.239310,0.346520
101.811470-101.239310,0.572160
101.988760-101.239310,0.749450
102.399740-101.239310,1.160430
